,record_id,record_date,num_cases,new_cases,pct_change,index
0,0,2020-02-27,1,n.a.,1(n.a.),0
1,1,⋮,1,0,1(=),1
2,2,2020-03-09,2,100%,2(+100%),2
3,3,⋮,2,0,2(=),3
4,4,2020-03-13,1,−50%,1(−50%),4
5,5,⋮,1,0,1(=),5
6,6,2020-03-17,2,100%,2(+100%),6
7,7,2020-03-18,7,250%,7(+250%),7
8,8,2020-03-19,11,57%,11(+57%),8
9,9,2020-03-20,12,9.1%,12(+9.1%),9
10,10,2020-03-21,22,83%,22(+83%),10
11,11,2020-03-22,30,36%,30(+36%),11
12,12,2020-03-23,36,20%,36(+20%),12
13,13,2020-03-24,44,22%,44(+22%),13
14,14,2020-03-25,51,16%,51(+16%),14
15,15,2020-03-26,65,27%,65(+27%),15
16,16,2020-03-27,81,25%,81(+25%),16
17,17,2020-03-28,97,20%,97(+20%),17
18,18,2020-03-29,111,14%,111(+14%),18
19,19,2020-03-30,131,18%,131(+18%),19
20,20,2020-03-31,139,6.1%,139(+6.1%),20
21,21,2020-04-01,174,25%,174(+25%),21
22,22,2020-04-02,184,5.7%,184(+5.7%),22
23,23,2020-04-03,209,14%,209(+14%),23
24,24,2020-04-04,214,2.4%,214(+2.4%),24
25,25,2020-04-05,232,8.4%,232(+8.4%),25
26,26,2020-04-06,238,2.6%,238(+2.6%),26
27,27,2020-04-07,254,6.7%,254(+6.7%),27
28,28,2020-04-08,274,7.9%,274(+7.9%),28
29,29,2020-04-09,288,5.1%,288(+5.1%),29
30,30,2020-04-10,305,5.9%,305(+5.9%),30
31,31,2020-04-11,318,4.3%,318(+4.3%),31
32,32,2020-04-12,323,1.6%,323(+1.6%),32
33,33,2020-04-13,343,6.2%,343(+6.2%),33
34,34,2020-04-14,373,8.7%,373(+8.7%),34
35,35,2020-04-15,407,9.1%,407(+9.1%),35
36,36,2020-04-16,442,8.6%,442(+8.6%),36
37,37,2020-04-17,493,12%,493(+12%),37
38,38,2020-04-18,541,9.7%,541(+9.7%),38
39,39,2020-04-19,627,16%,627(+16%),39
40,40,2020-04-20,665,6.1%,665(+6.1%),40
41,41,2020-04-21,782,18%,782(+18%),41
42,42,2020-04-22,873,12%,873(+12%),42
43,43,2020-04-23,981,12%,981(+12%),43
44,44,2020-04-24,"1,095",12%,"1,095(+12%)",44
45,45,2020-04-25,"1,182",7.9%,"1,182(+7.9%)",45
46,46,2020-04-26,"1,273",7.7%,"1,273(+7.7%)",46
47,47,2020-04-27,"1,337",5%,"1,337(+5%)",47
48,48,2020-04-28,"1,532",15%,"1,532(+15%)",48
49,49,2020-04-29,"1,728",13%,"1,728(+13%)",49
50,50,2020-04-30,"1,932",12%,"1,932(+12%)",50
51,51,2020-05-01,"2,170",12%,"2,170(+12%)",51
52,52,2020-05-02,"2,388",10%,"2,388(+10%)",52
53,53,2020-05-03,"2,558",7.1%,"2,558(+7.1%)",53
54,54,2020-05-04,"2,802",9.5%,"2,802(+9.5%)",54
55,55,2020-05-05,"2,950",5.3%,"2,950(+5.3%)",55
56,56,2020-05-06,"3,145",6.6%,"3,145(+6.6%)",56
57,57,2020-05-07,"3,526",12%,"3,526(+12%)",57
58,58,2020-05-08,"3,912",11%,"3,912(+11%)",58
59,59,2020-05-09,"4,151",6.1%,"4,151(+6.1%)",59
60,60,2020-05-10,"4,399",6%,"4,399(+6%)",60
61,61,2020-05-11,"4,641",5.5%,"4,641(+5.5%)",61
62,62,2020-05-12,"4,787",3.1%,"4,787(+3.1%)",62
63,63,2020-05-13,"4,971",3.8%,"4,971(+3.8%)",63
64,64,2020-05-14,"5,162",3.8%,"5,162(+3.8%)",64
65,65,2020-05-15,"5,445",5.5%,"5,445(+5.5%)",65
66,66,2020-05-16,"5,621",3.2%,"5,621(+3.2%)",66
67,67,2020-05-17,"5,959",6%,"5,959(+6%)",67
68,68,2020-05-18,"6,175",3.6%,"6,175(+3.6%)",68
69,69,2020-05-19,"6,401",3.7%,"6,401(+3.7%)",69
70,70,2020-05-20,"6,677",4.3%,"6,677(+4.3%)",70
71,71,2020-05-21,"7,016",5.1%,"7,016(+5.1%)",71
72,72,2020-05-22,"7,261",3.5%,"7,261(+3.5%)",72
73,73,2020-05-23,"7,526",3.6%,"7,526(+3.6%)",73
74,74,2020-05-24,"7,839",4.2%,"7,839(+4.2%)",74
75,75,2020-05-25,"8,086",3.2%,"8,086(+3.2%)",75
76,76,2020-05-26,"8,344",3.2%,"8,344(+3.2%)",76
77,77,2020-05-27,"8,733",4.7%,"8,733(+4.7%)",77
78,78,2020-05-28,"8,915",2.1%,"8,915(+2.1%)",78
79,79,2020-05-29,"9,302",4.3%,"9,302(+4.3%)",79
80,80,2020-05-30,"9,855",5.9%,"9,855(+5.9%)",80
81,81,2020-05-31,"10,162",3.1%,"10,162(+3.1%)",81
82,82,2020-06-01,"10,578",4.1%,"10,578(+4.1%)",82
83,83,2020-06-02,"10,819",2.3%,"10,819(+2.3%)",83
84,84,2020-06-03,"11,166",3.2%,"11,166(+3.2%)",84
85,85,2020-06-04,"11,516",3.1%,"11,516(+3.1%)",85
86,86,2020-06-05,"11,844",2.8%,"11,844(+2.8%)",86
87,87,2020-06-06,"12,233",3.3%,"12,233(+3.3%)",87
88,88,2020-06-07,"12,486",2.1%,"12,486(+2.1%)",88
89,89,2020-06-08,"12,801",2.5%,"12,801(+2.5%)",89
90,90,2020-06-09,"13,464",5.2%,"13,464(+5.2%)",90
91,91,2020-06-10,"13,873",3%,"13,873(+3%)",91
92,92,2020-06-11,"14,554",4.9%,"14,554(+4.9%)",92
93,93,2020-06-12,"15,181",4.3%,"15,181(+4.3%)",93
94,94,2020-06-13,"15,682",3.3%,"15,682(+3.3%)",94
95,95,2020-06-14,"16,085",2.6%,"16,085(+2.6%)",95
96,96,2020-06-15,"16,658",3.6%,"16,658(+3.6%)",96
97,97,2020-06-16,"17,148",2.9%,"17,148(+2.9%)",97
98,98,2020-06-17,"17,735",3.4%,"17,735(+3.4%)",98
99,99,2020-06-18,"18,480",4.2%,"18,480(+4.2%)",99
100,100,2020-06-19,"19,147",3.6%,"19,147(+3.6%)",100
101,101,2020-06-20,"19,808",3.5%,"19,808(+3.5%)",101
102,102,2020-06-21,"20,244",2.2%,"20,244(+2.2%)",102
103,103,2020-06-22,"20,919",3.3%,"20,919(+3.3%)",103
104,104,2020-06-23,"21,371",2.2%,"21,371(+2.2%)",104
105,105,2020-06-24,"22,020",3%,"22,020(+3%)",105
106,106,2020-06-25,"22,614",2.7%,"22,614(+2.7%)",106
107,107,2020-06-26,"23,298",3%,"23,298(+3%)",107
108,108,2020-06-27,"24,077",3.3%,"24,077(+3.3%)",108
109,109,2020-06-28,"24,567",2%,"24,567(+2%)",109
110,110,2020-06-29,"25,133",2.3%,"25,133(+2.3%)",110
111,111,2020-06-30,"25,694",2.2%,"25,694(+2.2%)",111
112,112,2020-07-01,"26,484",3.1%,"26,484(+3.1%)",112
113,113,2020-07-02,"27,110",2.4%,"27,110(+2.4%)",113
114,114,2020-07-03,"27,564",1.7%,"27,564(+1.7%)",114
115,115,2020-07-04,"28,167",2.2%,"28,167(+2.2%)",115
116,116,2020-07-05,"28,711",1.9%,"28,711(+1.9%)",116
117,117,2020-07-06,"29,286",2%,"29,286(+2%)",117
118,118,2020-07-07,"29,789",1.7%,"29,789(+1.7%)",118
119,119,2020-07-08,"30,249",1.5%,"30,249(+1.5%)",119
120,120,2020-07-09,"30,748",1.6%,"30,748(+1.6%)",120
121,121,2020-07-10,"31,323",1.9%,"31,323(+1.9%)",121
122,122,2020-07-11,"31,987",2.1%,"31,987(+2.1%)",122
123,123,2020-07-12,"32,558",1.8%,"32,558(+1.8%)",123
124,124,2020-07-13,"33,153",1.8%,"33,153(+1.8%)",124
125,125,2020-07-14,"33,616",1.4%,"33,616(+1.4%)",125
126,126,2020-07-15,"34,259",1.9%,"34,259(+1.9%)",126
127,127,2020-07-16,"34,854",1.7%,"34,854(+1.7%)",127
128,128,2020-07-17,"35,454",1.7%,"35,454(+1.7%)",128
129,129,2020-07-18,"36,107",1.8%,"36,107(+1.8%)",129
130,130,2020-07-19,"36,663",1.5%,"36,663(+1.5%)",130
131,131,2020-07-20,"37,225",1.5%,"37,225(+1.5%)",131
132,132,2020-07-21,"37,801",1.5%,"37,801(+1.5%)",132
133,133,2020-07-22,"38,344",1.4%,"38,344(+1.4%)",133
134,134,2020-07-23,"38,948",1.6%,"38,948(+1.6%)",134
135,135,2020-07-24,"39,539",1.5%,"39,539(+1.5%)",135
136,136,2020-07-25,"39,977",1.1%,"39,977(+1.1%)",136
137,137,2020-07-26,"40,532",1.4%,"40,532(+1.4%)",137
138,138,2020-07-27,"41,180",1.6%,"41,180(+1.6%)",138
139,139,2020-07-28,"41,804",1.5%,"41,804(+1.5%)",139
140,140,2020-07-29,"42,208",0.97%,"42,208(+0.97%)",140
141,141,2020-07-30,"42,689",1.1%,"42,689(+1.1%)",141
142,142,2020-07-31,"43,151",1.1%,"43,151(+1.1%)",142
143,143,2020-08-01,"43,537",0.89%,"43,537(+0.89%)",143
144,144,2020-08-02,"43,841",0.7%,"43,841(+0.7%)",144
145,145,2020-08-03,"44,129",0.66%,"44,129(+0.66%)",145
146,146,2020-08-04,"44,433",0.69%,"44,433(+0.69%)",146
147,147,2020-08-05,"44,890",1%,"44,890(+1%)",147
148,148,2020-08-06,"45,244",0.79%,"45,244(+0.79%)",148
149,149,2020-08-07,"45,687",0.98%,"45,687(+0.98%)",149
150,150,2020-08-08,"46,140",0.99%,"46,140(+0.99%)",150
151,151,2020-08-09,"46,577",0.95%,"46,577(+0.95%)",151
152,152,2020-08-10,"46,867",0.62%,"46,867(+0.62%)",152
153,153,2020-08-11,"47,290",0.9%,"47,290(+0.9%)",153
154,154,2020-08-12,"47,743",0.96%,"47,743(+0.96%)",154
155,155,2020-08-13,"48,116",0.78%,"48,116(+0.78%)",155
156,156,2020-08-14,"48,445",0.68%,"48,445(+0.68%)",156
157,157,2020-08-15,"48,770",0.67%,"48,770(+0.67%)",157
158,158,2020-08-16,"49,068",0.61%,"49,068(+0.61%)",158
159,159,2020-08-17,"49,485",0.85%,"49,485(+0.85%)",159
160,160,2020-08-18,"49,895",0.83%,"49,895(+0.83%)",160
161,161,2020-08-19,"50,488",1.2%,"50,488(+1.2%)",161
162,162,2020-08-20,"50,964",0.94%,"50,964(+0.94%)",162
163,163,2020-08-21,"51,304",0.67%,"51,304(+0.67%)",163
164,164,2020-08-22,"51,905",1.2%,"51,905(+1.2%)",164
165,165,2020-08-23,"52,227",0.62%,"52,227(+0.62%)",165
166,166,2020-08-24,"52,548",0.61%,"52,548(+0.61%)",166
167,167,2020-08-25,"52,800",0.48%,"52,800(+0.48%)",167
168,168,2020-08-26,"53,021",0.42%,"53,021(+0.42%)",168
169,169,2020-08-27,"53,317",0.56%,"53,317(+0.56%)",169
170,170,2020-08-28,"53,477",0.3%,"53,477(+0.3%)",170
171,171,2020-08-29,"53,727",0.47%,"53,727(+0.47%)",171
172,172,2020-08-30,"53,865",0.26%,"53,865(+0.26%)",172
173,173,2020-08-31,"54,008",0.27%,"54,008(+0.27%)",173
174,174,2020-09-01,"54,247",0.44%,"54,247(+0.44%)",174
175,175,2020-09-02,"54,463",0.4%,"54,463(+0.4%)",175
176,176,2020-09-03,"54,588",0.23%,"54,588(+0.23%)",176
177,177,2020-09-04,"54,743",0.28%,"54,743(+0.28%)",177
178,178,2020-09-05,"54,905",0.3%,"54,905(+0.3%)",178
179,179,2020-09-06,"55,005",0.18%,"55,005(+0.18%)",179
180,180,2020-09-07,"55,160",0.28%,"55,160(+0.28%)",180
181,181,2020-09-08,"55,456",0.54%,"55,456(+0.54%)",181
182,182,2020-09-09,"55,632",0.32%,"55,632(+0.32%)",182
183,183,2020-09-10,"55,829",0.35%,"55,829(+0.35%)",183
184,184,2020-09-11,"56,017",0.34%,"56,017(+0.34%)",184
185,185,2020-09-12,"56,177",0.29%,"56,177(+0.29%)",185
186,186,2020-09-13,"56,256",0.14%,"56,256(+0.14%)",186
187,187,2020-09-14,"56,388",0.23%,"56,388(+0.23%)",187
188,188,2020-09-15,"56,478",0.16%,"56,478(+0.16%)",188
189,189,2020-09-16,"56,604",0.22%,"56,604(+0.22%)",189
190,190,2020-09-17,"56,735",0.23%,"56,735(+0.23%)",190
191,191,2020-09-18,"56,956",0.39%,"56,956(+0.39%)",191
192,192,2020-09-19,"57,145",0.33%,"57,145(+0.33%)",192
193,193,2020-09-20,"57,242",0.17%,"57,242(+0.17%)",193
194,194,2020-09-21,"57,437",0.34%,"57,437(+0.34%)",194
195,195,2020-09-22,"57,613",0.31%,"57,613(+0.31%)",195
196,196,2020-09-23,"57,724",0.19%,"57,724(+0.19%)",196
197,197,2020-09-24,"57,849",0.22%,"57,849(+0.22%)",197
198,198,2020-09-25,"58,062",0.37%,"58,062(+0.37%)",198
199,199,2020-09-26,"58,198",0.23%,"58,198(+0.23%)",199
200,200,2020-09-27,"58,324",0.22%,"58,324(+0.22%)",200
201,201,2020-09-28,"58,460",0.23%,"58,460(+0.23%)",201
202,202,2020-09-29,"58,647",0.32%,"58,647(+0.32%)",202
203,203,2020-09-30,"58,848",0.34%,"58,848(+0.34%)",203
204,204,2020-10-01,"59,001",0.26%,"59,001(+0.26%)",204
205,205,2020-10-02,"59,127",0.21%,"59,127(+0.21%)",205
206,206,2020-10-03,"59,287",0.27%,"59,287(+0.27%)",206
207,207,2020-10-04,"59,345",0.1%,"59,345(+0.1%)",207
208,208,2020-10-05,"59,465",0.2%,"59,465(+0.2%)",208
209,209,2020-10-06,"59,583",0.2%,"59,583(+0.2%)",209
210,210,2020-10-07,"59,738",0.26%,"59,738(+0.26%)",210
211,211,2020-10-08,"59,841",0.17%,"59,841(+0.17%)",211
212,212,2020-10-09,"59,992",0.25%,"59,992(+0.25%)",212
213,213,2020-10-10,"60,103",0.19%,"60,103(+0.19%)",213
214,214,2020-10-11,"60,266",0.27%,"60,266(+0.27%)",214
215,215,2020-10-12,"60,430",0.27%,"60,430(+0.27%)",215
216,216,2020-10-13,"60,655",0.37%,"60,655(+0.37%)",216
217,217,2020-10-14,"60,834",0.3%,"60,834(+0.3%)",217
218,218,2020-10-15,"60,982",0.24%,"60,982(+0.24%)",218
219,219,2020-10-16,"61,194",0.35%,"61,194(+0.35%)",219
220,220,2020-10-17,"61,307",0.18%,"61,307(+0.18%)",220
221,221,2020-10-18,"61,440",0.22%,"61,440(+0.22%)",221
222,222,2020-10-19,"61,558",0.19%,"61,558(+0.19%)",222
223,223,2020-10-20,"61,630",0.12%,"61,630(+0.12%)",223
224,224,2020-10-21,"61,667",0.06%,"61,667(+0.06%)",224
225,225,2020-10-22,"61,805",0.22%,"61,805(+0.22%)",225
226,226,2020-10-23,"61,882",0.12%,"61,882(+0.12%)",226
227,227,2020-10-24,"61,930",0.08%,"61,930(+0.08%)",227
228,228,2020-10-25,"61,992",0.1%,"61,992(+0.1%)",228
